Gene1	Gene2
ACOX1	HADHA
ACOX1	HADHB
ACOX1	HNF4A
ACOX1	NEK10
ACOX1	NPR2
ACOX1	PTK2B
ACOX1	USF1
ACOX3	ACSL1
ACOX3	ACSL3
ACOX3	ACSL5
ACOX3	ACSL6
ACOX3	ACSM1
ACOX3	CPT1A
ACOX3	CPT1B
ACOX3	CPT1C
ACOX3	CPT2
ACOX3	ECHS1
ACOX3	EHHADH
ACOX3	HADHA
ACOX3	HADHB
ACP1	CTNNB1
ACP1	ENPP1
ACP1	ENPP3
ACP1	EP300
ACP1	EPHA2
ACP1	EPHB1
ACP1	EPHB2
ACP1	FNBP1L
ACP1	FOXA1
ACP1	FOXA2
ACP1	KDR
ACP1	MRPL20
ACP1	NRF1
ACP1	SFMBT1
ACP1	ZAP70
ACP1	ZEB1
ACP2	ENPP1
ACP2	ENPP3
ACP2	GABPA
ACP2	TAF1
ACP2	UBC
ACP2	YY1
ACP5	C2ORF18
ACP5	EBF1
ACP5	EGR2
ACP5	ENPP1
ACP5	ENPP3
ACP5	MAPK9
ACP5	PDCD5
ACP5	RPA2
ACP5	TNFSF10
ACP6	C2ORF18
ACP6	DHCR7
ACP6	DHX36
ACP6	ENPP1
ACP6	ENPP3
ACP6	ERH
ACP6	GNG7
ACP6	ILK
ACP6	LIMS1
ACP6	RGS10
ACP6	RSU1
ACP6	ZNF143
ACPP	ENPP1
ACPP	ENPP3
ACPP	UBC
ACPT	BCL3
ACPT	ENPP1
ACPT	ENPP3
ACRBP	ZNF274
ACRC	DYRK1B
ACRC	EPHA3
ACRC	PRKCI
ACR	SERPINA5
ACSBG2	MYC
ACSF3	GABPA
ACSL1	ACSL3
ACSL1	ACSL5
ACSL1	ACSL6
ACSL1	CPT1A
ACSL1	CPT1B
ACSL1	CPT1C
ACSL1	CPT2
ACSL1	ELOVL6
ACSL1	FASN
ACSL1	PPT1
ACSL1	PPT2
ACSL1	SPTLC1
ACSL1	SPTLC2
ACSL3	ACSL5
ACSL3	ACSL6
ACSL3	CPT1A
ACSL3	CPT1B
ACSL3	CPT1C
ACSL3	CPT2
ACSL3	ELOVL6
ACSL3	FASN
ACSL3	FOSL2
ACSL3	GABPA
ACSL3	PPT1
